budget,country_of_origin,genre,global_ranking,num_of_ratings,rating,release_date,title,us_gross,worldwide_gross
25000000,USA,Drama,24,268179,8.25,01.12.1983,Scarface,45408703,65884703
175000000,USA,Animation,26,167501,8.29,20.10.2017,Coco,210460015,814337054
58000000,USA,Biographical,20,503378,8.26,13.12.2001,A Beautiful Mind,170742341,316791257
19000000,USA,Thriller,22,680863,8.24,30.01.1991,The Silence of the Lambs,130742922,272742922
160000000,USA,Surreal,21,617735,8.25,,Inception,292587330,837186610
80000000,USA,Drama,27,585210,8.18,13.02.2010,Shutter Island,128012934,294805697
45000000,USA,Animation,23,572227,8.25,,The Lion King,422783777,1063611805
33000000,USA,Drama,25,436617,8.21,09.12.2008,Gran Torino,148095302,269958228
55000000,USA,Drama,18,315581,8.29,31.08.2019,Joker,335477657,1078958282
100000000,USA,Western,19,496084,8.26,11.12.2012,Django Unchained,162805434,426074373
35000000,France,Biographical,17,600801,8.27,24.05.2002,The Pianist,32572577,120072577
25000000,USA,Drama,16,311585,8.31,09.09.1990,Goodfellas,46909721,47036784
63000000,USA,Thriller,15,625560,8.29,10.09.1999,Fight Club,37030102,101209702
33000000,USA,Crime,14,612243,8.31,15.09.1995,Se7en,100125643,327333559
94000000,New Zealand,Fantasy,13,506095,8.31,05.12.2002,The Lord of the Rings: The Two Towers,342952511,947944270
20000000,Italy,Drama,12,283864,8.37,20.12.1997,La vita è bella,57563264,230098753
80000000,USA,Animation,376,90480,7.64,18.05.2002,Spirit: Stallion of the Cimarron,73280117,122563539
,Russia,Drama,399,32877,7.89,25.06.2003,Vozvrashchenie,504256,8482993
,France,Thriller,397,37015,7.84,24.05.1976,Le locataire,,1924733
18000000,USA,Animation,398,79472,7.63,09.10.1993,The Nightmare Before Christmas,87620624,101496447
,Poland,Drama,396,34098,7.88,13.09.2007,Pora umierać,,
,Australia,Animation,395,33836,7.88,23.06.2011,The Maker,,
,Poland,Sci-Fi,394,57408,7.71,15.12.2015,Twardowsky,,
200000000,USA,Action,393,169846,7.54,10.04.2017,Guardians of the Galaxy Vol. 2,389813101,863756051
54000000,USA,Thriller,472,295844,7.44,13.02.2006,V for Vendetta,70511035,132511035
,France,Melodrama,500,25662,7.91,,Fa yeung nin wa,2738980,13719237
30000000,USA,Thriller,499,233658,7.44,08.04.2004,Kill Bill: Vol. 2,66208183,152159461
28000000,USA,Biographical,498,58237,7.62,11.08.2015,Straight Outta Compton,161197785,200425182
40000000,USA,Crime,497,267914,7.43,28.03.2005,Sin City,74103820,158753820
28000000,USA,Biographical,496,65749,7.59,04.09.2005,Walk the Line,119519402,186438883
,USA,Biographical,495,44582,7.69,27.01.1995,The Basketball Diaries,,2381087
,Japan,Sci-Fi,494,31244,7.82,16.07.1988,Akira,553171,2894646
,United Kingdom,Moral drama,493,93714,7.53,19.09.2012,Now Is Good,,
8900000,France,Melodrama,491,47365,7.67,20.05.2012,Amour,6739492,19839492
15000000,USA,Horror,492,103427,7.52,25.06.1982,The Thing,,19629760
30000000,USA,Drama,490,237092,7.44,25.02.2004,The Passion of the Christ,370782930,612054506
26000000,USA,Drama,489,135956,7.49,22.11.2009,Brothers,28544157,43318349
55000000,USA,Romance,487,168626,7.47,15.06.1995,Pocahontas,141579773,346079773
6000000,United Kingdom,Drama,488,86022,7.55,01.09.2006,The Last King of Scotland,17606684,48363516
60000000,USA,Drama,486,511439,7.41,01.06.1998,The Truman Show,125618201,264118201
,USA,Drama,485,78383,7.56,22.06.1979,Escape from Alcatraz,,43000000
,France,Biographical,484,62371,7.61,22.05.2007,Le scaphandre et le papillon,6003227,19777647
24000000,USA,Melodrama,483,80106,7.56,02.06.1995,The Bridges of Madison County,71516617,182016617
25000000,USA,Drama,481,217761,7.45,15.12.2000,Chocolat,71509363,152699946
150000000,USA,Animation,480,305925,7.43,08.05.2004,Shrek 2,441226247,928760770
,USA,Drama,479,80186,7.56,23.01.2016,Captain Fantastic,5879835,23149433
150000000,USA,Animation,482,115224,7.51,16.11.2016,Moana,248757044,665069139
6000000,USA,Melodrama,477,283994,7.44,12.05.1987,Dirty Dancing,64577242,217688008
10000000,France,Moral drama,476,50829,7.67,21.05.1999,The Straight Story,6203044,6416569
20000000,USA,Melodrama,475,185564,7.47,23.05.2016,Me Before You,56245075,207945075
73000000,USA,Crime,474,185100,7.47,29.08.1999,The Bone Collector,66518655,151493655
50000000,USA,Drama,473,118643,7.51,06.12.1997,As Good as It Gets,148478011,314178011
,USA,Western,471,43247,7.72,12.10.1960,The Magnificent Seven,,4905000
,United Kingdom,Drama,478,69843,7.59,25.01.2020,Promising Young Woman,6460965,17218161
2500000,Austria,Drama,470,53069,7.66,27.01.1995,Before Sunrise,5535405,22735405
53000000,USA,Animation,469,89795,7.55,14.11.1997,Anastasia,58406347,139804348
,Germany,Thriller,467,54313,7.66,06.09.2014,Who Am I - Kein System ist sicher,,
,USA,Drama,466,80504,7.58,17.07.2008,Felon,,
52000000,USA,Drama,465,89085,7.56,14.03.2000,Erin Brockovich,125595205,256271286
,Poland,Drama,464,232961,7.46,12.08.2005,Skazany na bluesa,,
38000000,USA,Action,468,294776,7.45,18.06.2001,The Fast and the Furious,144745925,207517509
,USA,Drama,462,39462,7.76,06.08.2019,Sound of Metal,,
170000000,USA,Action,463,249588,7.46,21.07.2014,Guardians of the Galaxy,333718600,773350147
55000000,Germany,Fantasy,461,147744,7.5,10.04.1998,City of Angels,78685114,198685114
25000000,USA,Biographical,459,64936,7.62,01.12.2016,Hidden Figures,169607287,236225193
11800000,USA,Melodrama,457,234746,7.47,23.01.2002,A Walk to Remember,41281092,47494916
,Poland,Drama,460,83972,7.57,29.07.2006,Plac Zbawiciela,,
30000000,United Kingdom,Melodrama,458,123377,7.52,29.08.2007,Atonement,50927067,129266061
15000000,USA,Melodrama,456,168152,7.49,08.08.2011,One Day,13843771,59389433
8000000,USA,Horror,454,129528,7.52,,The Exorcist,232906145,441306145
19000000,USA,Comedy,455,340791,7.45,03.07.1985,Back to the Future,214077472,384577472
,Spain,Drama,453,65099,7.63,15.03.2002,Hable con ella,9357911,64803131
,USA,Biographical,452,43293,7.74,17.05.2007,Control,872252,8159508
,USSR,Drama,451,18465,8.17,09.07.1985,Idi i smotri,,
140000000,USA,Animation,449,63481,7.63,05.11.2002,Treasure Planet,38176783,110041363
,France,Animation,448,77144,7.6,12.03.1976,Les douze travaux d'Astérix,,
150000000,USA,Family,450,327701,7.45,28.06.2007,Harry Potter and the Order of the Phoenix,292382727,942278045
70000000,USA,Melodrama,445,79495,7.6,09.12.2004,The Phantom of the Opera,51268815,154648887
,USA,Animation,447,42939,7.74,01.10.1982,Vincent,,
75000000,USA,Drama,444,75215,7.61,25.02.2002,We Were Soldiers,78122718,114660784
