name,price
DZIK® BASIC - BLUZA FIOLETOWA,350.0
DZIK® BODY DZIECIĘCE BEŻOWE,80.0
DZIK® KURTKA,900.0
DZIK® KOSZULKA DZIECIĘCA CZARNA,90.0
DZIK® KOSZULKA OVERSIZE SZKŁO,170.0
 DZIK® BODY DZIECIĘCE BŁĘKITNE,80.0
DZIK® KOSZULKA DZIECIĘCA NIEBIESKA,90.0
DZIK® KAMIZELKA,600.0
DZIK® SWETEREK ŚWIĄTECZNY,250.0
DZIK® KOSZULKA DZIECIĘCA BEŻOWA,90.0
DZIK® SKARPETY TRENINGOWE CZARNE HAFT,40.0
DZIK® SKARPETY TRENINGOWE BIAŁE HAFT,40.0
WK DZIK® - BOKSERKI MĘSKIE PETROL,65.0
WK DZIK® - BOKSERKI MĘSKIE FIOLETOWE ,65.0
DZIK® BOKSERKA  Z KAPTUREM POSTARZANA,185.0
DZIK® BOKSERKA  Z KAPTUREM POSTARZANA BORDO,185.0
DZIK® BASIC - BLUZA NAVY,350.0
DZIK® BASIC - BLUZA CHOCOLATE,350.0
